company_name,industry,founded_year,ceo,headquarters,num_employees,revenue,website,stock_symbol,customer_satisfaction,publicly_traded
Thomas Group,Healthcare,1977,Andrew Frederick,Lake Christopherchester,6802,1422987744.9,http://www.lynch.net/,MSFT,4.8,No
Petty LLC,Education,1989,Matthew Pennington,Stephanieland,3842,3510979297.79,http://garcia.com/,MSFT,4.7,Yes
Stone-Flores,Tech,2023,Tammie Frey,Hicksberg,3276,5898813991.15,https://dougherty-davis.com/,AMZN,4.6,No
Long-James,Finance,1984,Angela Cooley,South Charlesview,8799,1766891877.31,https://www.hester.info/,MSFT,2.5,Yes
Clark Group,Retail,2022,Jerry Perez,South Kylechester,8530,3489378178.54,http://davis-garcia.net/,GOOGL,1.5,No
Moore LLC,Healthcare,1992,Jason Tran,East Joel,2473,5960632547.25,http://duncan-carroll.com/,MSFT,3.2,Yes
"Jackson, Chavez and Coleman",Tech,2021,Christopher Phelps,Lisamouth,6661,6158124919.17,https://www.gardner-branch.info/,AAPL,3.8,No
"Adams, Salazar and Roberts",Finance,2001,Monica Wyatt,West Donna,363,9426729501.78,https://larson.biz/,MSFT,3.0,Yes
Adams PLC,Healthcare,1972,Derek Spencer,Andersonside,7487,1753353221.37,http://ramos.com/,GOOGL,1.1,Yes
Houston-Scott,Finance,2020,Mr. Charles Foster Jr.,Lisaberg,9476,5078396547.3,https://www.pruitt.com/,AMZN,4.6,No
Smith-Fitzgerald,Education,1995,Barbara Weaver,Port Richardburgh,8982,2655627652.76,https://www.rivas-myers.biz/,AAPL,2.0,No
Wright Ltd,Retail,1974,Richard Terry,East Angelaton,7786,2423111646.81,http://www.bean.org/,GOOGL,3.9,No
"Smith, Jones and Glenn",Retail,1975,Brett Choi,New Christinaburgh,8211,6193609053.86,http://turner.com/,GOOGL,2.7,No
Dillon Inc,Finance,2017,Haley Kramer,Paulhaven,9863,5396122384.35,http://armstrong.com/,AMZN,3.1,No
"Gentry, Miles and Powell",Finance,1986,Amy Norris,Harringtonton,4159,938583287.62,http://www.jenkins.net/,AAPL,1.7,Yes
Mcdonald and Sons,Healthcare,1979,Yvette Pittman,North Christinastad,2252,2796392852.39,https://www.sims.biz/,TSLA,3.4,Yes
"Galvan, Whitney and Camacho",Healthcare,1984,Andrea Adams,Andrewview,3199,90372895.93,http://williams-pruitt.com/,AMZN,2.2,Yes
Porter Ltd,Tech,1985,Jenna Mcpherson,South Justin,8636,329967724.01,https://www.wilcox-harrington.com/,MSFT,2.1,No
Fleming Inc,Education,2004,Cynthia Scott,Robertsonmouth,3879,4311672905.36,http://warren-chavez.net/,AAPL,4.7,No
Cowan-Cantrell,Healthcare,1974,Amanda Stokes,Port Alexander,5162,3483823656.42,http://www.rodriguez-long.com/,TSLA,2.2,Yes
"Kane, Ruiz and Gonzalez",Finance,1980,Tracy Lucas,South Roberto,968,1534158250.74,https://www.williams.net/,GOOGL,3.9,Yes
"Moore, Kim and Faulkner",Healthcare,1982,Jose Roberts,South Amandabury,4037,1102578094.73,http://www.cole-edwards.org/,TSLA,1.6,Yes
"Kane, Mcguire and Mann",Education,2003,Roger Hernandez,East Katie,8083,8668653714.4,http://chavez-jimenez.com/,MSFT,3.7,No
Thompson-Ruiz,Tech,1975,Emily White,Marcusfurt,3243,6195592474.31,https://www.lozano.com/,MSFT,3.0,No
Bailey-Henderson,Finance,2024,Morgan Rowland,Daughertybury,3281,5531385293.31,https://www.waller.com/,TSLA,3.8,Yes
Chavez PLC,Finance,2015,Michael Johnson,Millerberg,6765,6733130191.81,http://hill.com/,TSLA,4.4,No
Welch-Jackson,Tech,2010,Rodney Chase,East Amyside,8487,2855221240.2,https://www.newton.com/,AAPL,2.5,Yes
Shaffer-Lee,Education,2007,Paul Moore,Port Michelle,6345,8762962140.94,https://love.net/,AAPL,1.2,No
