product_name,category,price,sku,stock_quantity,release_date,manufacturer,warranty_period,rating,is_available
Pass Anyone,Sports,200.51,ebb256d1-2b44-4324-ae40-3b87ce624c08,2749,2020-12-04,"Oneal, Thompson and Lyons",2 years,3.3,No
Operation Tree,Home & Kitchen,51.27,947e2f54-e30c-4960-8e95-1751c6fdf096,2167,2021-09-27,"Johnson, Hall and Melendez",1 year,3.4,No
Fast Player,Beauty,43.28,d127b651-8952-422e-9fee-bff8f6506a23,3235,2024-09-04,Torres-Jones,2 years,4.0,Yes
Build Light,Home & Kitchen,222.4,baf01d8b-7bc2-4ce1-84af-7a7d7c352ef2,3566,2023-01-09,Monroe-West,6 months,1.5,Yes
Language Artist,Home & Kitchen,504.32,4fb69288-b027-4595-a670-02b43617d0c7,3934,2024-03-12,"Smith, Smith and Fox",3 years,3.2,Yes
Particularly Investment,Clothing,606.21,663f096b-ad71-4c98-b62f-6a574d4ff33d,2242,2020-04-29,Rose Inc,6 months,3.0,No
Cut Ok,Home & Kitchen,378.66,b31bc30b-b8d2-4f38-b34d-a4224e745c3a,4888,2024-03-19,Parker Group,3 years,3.5,No
Yet Bit,Clothing,76.3,7fbbfa45-b929-4e76-8fe9-c29aff4563fa,3883,2024-09-30,Estrada Inc,1 year,2.4,Yes
Product Interesting,Sports,471.15,c56b38e9-7977-4cfd-9020-57d2a1586136,512,2022-12-28,"Reynolds, Rivera and Ramirez",1 year,4.5,No
Real Thus,Clothing,407.35,47c436a0-193a-4d4d-aa86-68368456daad,1489,2020-07-11,Moran-Smith,2 years,3.1,Yes
Item Throughout,Beauty,644.38,284cb073-b3aa-4114-a8b7-64f6baf147c5,2923,2020-12-30,"Sanford, Henry and Romero",1 year,2.2,No
Company Measure,Home & Kitchen,240.18,2a209020-49f1-492e-a887-e7855610a912,1170,2024-04-07,Case-Thompson,6 months,3.5,No
Provide Candidate,Electronics,424.88,6eb8a8e6-7efd-438d-a13b-762f7e6cc2db,1951,2023-09-23,Rodriguez-Phillips,2 years,1.0,No
Hard Crime,Clothing,453.29,39de1e94-4d75-4f2b-8be1-76f8161bca3b,3761,2022-06-29,"Johnson, Herring and Mendoza",3 years,1.2,No
Appear Cup,Electronics,919.68,3fc409c9-1750-4556-9f4c-505e066b6ee2,47,2020-09-21,Holt and Sons,2 years,2.4,No
Must Think,Sports,369.2,d1f2b445-485a-43e5-b69c-04517d90d887,3906,2020-10-11,"Woods, Peterson and Keller",2 years,3.0,Yes
Blood Fish,Electronics,468.88,d03426f7-2a6c-4722-a651-b0302d411631,1053,2025-02-16,"Anderson, Moore and Luna",2 years,2.6,Yes
Deal Military,Home & Kitchen,431.98,e7ab1320-cc51-4eb1-8192-21daf345a55e,4392,2021-10-29,"Navarro, Davis and Dyer",1 year,3.2,No
Next Ago,Home & Kitchen,69.28,a9f98831-6943-4f48-94ac-0eb6130adac0,2610,2020-11-24,Gregory Ltd,2 years,3.3,No
All Expect,Home & Kitchen,619.62,a28a8a5c-1bf5-4912-a394-05ceb3b2d980,453,2022-03-07,Moore-Rivera,1 year,2.3,No
